Name,mass,radius,orbital_period,semi_major_axis,eccentricity,inclination,star_distance,star_mass,star_radius,star_teff,M-dwarf,
LTT 1445A c,0.00485,0.10233,3.1239035,0.0266,0.223,87.43,6.9,0.256,0.27,3340,1,
LTT 3780 b,0.00982,0.11883,0.7683881,0.012,0.064,85.9,21.981,0.401,0.374,3360,1,
LTT 3780 c,0.0267,0.205,12.252048,0.077,0.115,89.08,21.981,0.401,0.374,3360,1,
LTT 9779 b,0.09225,0.4211,0.792052,0.01679,0,76.39,80.6,1,0.92,5445,0,
MASCARA-1 b,3.7,1.5,2.14878,0.043,0,87,188.7,1.72,2.1,7554,0,
MASCARA-3 b,5.18,1.272,5.5514926,0.06971,0.085,89.16,96.79,1.461,1.506,6508,0,
NGTS-1 b,0.812,1.33,2.647298,0.0326,0.016,82.8,224,0.617,0.573,3916,0,
NGTS-11 b,0.37,0.823,35.455285,0.2,0.11,89.12,191.5,0.862,0.832,5050,0,
NGTS-13 b,4.84,1.142,4.119027,0.0549,0.086,88.7,657,1.3,1.788,5918,0,
NGTS-14A b,0.092,0.44,3.5357173,0.0403,0,86.7,325.1,0.898,0.842,5187,0,
NGTS-2 b,0.67,1.536,4.5111204,0.0584,0,87.66,360.3,1.64,1.702,6478,0,
NGTS-21 b,2.36,1.33,1.5433897,0.0236,0,83.85,641,0.72,0.86,4660,0,
NGTS-23 b,0.613,1.267,4.076,0.0504,0,89.12,991,1.01,1.24,6057,0,
NGTS-24 b,0.52,1.214,3.4678796,0.0479,0,82.61,723,1.26,1.64,5820,0,
NGTS-25 b,0.639,1.023,2.823093,0.0388,0,89.34,517,0.91,0.86,5321,0,
NGTS-3A b,2.38,1.48,1.6753728,0.023,0,89.56,1010,1.017,0.93,5570,0,
NGTS-4 b,0.0648,0.2837,1.3373508,0.019,0,82.5,282.6,0.75,0.84,5143,0,
NGTS-5 b,0.229,1.136,3.3569866,0.0382,0,86.6,309.5,0.661,0.739,4987,0,
NGTS-6 b,1.33,1.271,0.882058,0.016623018,0,80.23,311,0.7876,0.656,4410,0,
NGTS-8 b,0.93,1.09,2.4997,0.035,0.01,86.9,434.273,0.89,0.98,5241,0,
NGTS-9 b,2.9,1.07,4.43527,0.058,0.06,84.1,619.732,1.34,1.38,6330,0,
OGLE-TR-10 b,0.68,1.72,3.10129,0.04162,0,84.5,1248,1.18,1.16,6075,0,
OGLE-TR-111 b,0.54,1.077,4.01451,0.047,0,88.1,1114,0.82,0.831,5070,0,
OGLE-TR-113 b,1.24,1.11,1.4324772,0.0229,0,89.4,592,0.78,0.765,4752,0,
OGLE-TR-132 b,1.17,1.23,1.689868,0.0306,0,83.4,2330,1.26,1.34,6210,0,
OGLE-TR-182 b,1.06,1.47,3.9791,0.051,0,85.7,2930,1.14,1.14,5924,0,
OGLE-TR-211 b,0.75,1.26,3.67724,0.051,0,87.2,1830,1.33,1.64,6325,0,
OGLE-TR-56 b,1.3,1.2,1.211909,0.0225,0,78.8,2252,1.17,1.32,,0,
pi Men c,0.01142,0.16719,6.267852,0.06702,0.15,87.553,18.37,1.094,1.1,6037,0,
Qatar-1 b,1.294,1.143,1.42002504,0.02332,0,84.08,187,0.838,0.803,5013,0,
Qatar-10 b,0.736,1.534,1.645321,0.0286,0,85.87,539,1.156,1.254,6124,0,
Qatar-2 b,2.494,1.254,1.33711647,0.02153,0,86.12,182.32,0.74,0.78,4645,0,
Qatar-6 A b,0.668,1.062,3.506189,0.0423,0,86.01,101,0.822,0.722,5052,0,
Qatar-7 b,1.88,1.7,2.032046,0.0352,0,89,725,1.409,1.564,6387,0,
Qatar-8 b,0.371,1.285,3.71495,0.0474,0,89.29,276.7,1.029,1.315,5687,0,
Qatar-9 b,1.19,1.009,1.540731,0.0234,0,89.23,211.4,0.719,0.696,4309,0,
tau Boo A b,5.84,1.06,3.31249,0.046,0.0787,45,15.6,1.3,1.331,6309,0,
TIC 237913194 b,1.942,1.117,15.168865,0.1207,0.575,87,309.6,1.026,1.088,5788,0,
TOI-1062 b,0.032,0.20198,4.11412,0.052,0.179,85.908,82.2,0.94,0.84,5328,0,
TOI-1064 b,0.0425,0.2308,6.443868,0.06152,0.047,87.71,68.81,0.748,0.726,4734,0,
TOI-1064 c,0.0079,0.23651,12.226574,0.09429,0.088,88.455,68.81,0.748,0.726,4734,0,
TOI-1107 b,3.35,1.3,4.0782387,0.0561,0.025,88.63,283.61,1.35,1.81,6311,0,
TOI-1130 c,0.974,1.5,8.350381,0.07098,0.047,87.43,58.26,0.684,0.687,4250,0,
TOI-1201 b,0.01976,0.21545,2.4919863,0.0287,0,88.11,37.636,0.512,0.508,3476,1,
TOI-1231 b,0.0485,0.3256,24.245586,0.1288,0.087,89.73,27.4932,0.485,0.476,3562,1,
TOI-1238 b,0.01183,0.1079,0.764597,0.0139,0.25,86.51,70.6424,0.59,0.58,4089,0,
TOI-1238 c,0.02618,0.1882,3.294736,0.037,0.15,88.38,70.6424,0.59,0.58,4089,0,
TOI-125 b,0.0299,0.2432,4.65382,0.05186,0.194,88.92,111.4,0.859,0.848,5320,0,
